TEXT|NAICS|SAMPLE_WEIGHT
SOYBEAN FARMING|111110|813.23
SOYBEAN FARMING|111110|813.23
SOYBEAN FARMING, FIELD AND SEED PRODUCTION|111110|813.23
SOYBEAN FARMING, FIELD AND SEED PRODUCTION|111110|813.23
CANOLA FARMING, FIELD AND SEED PRODUCTION|111120|180.72
CANOLA FARMING, FIELD AND SEED PRODUCTION|111120|180.72
FLAXSEED FARMING, FIELD AND SEED PRODUCTION|111120|180.72
FLAXSEED FARMING, FIELD AND SEED PRODUCTION|111120|180.72
MUSTARD SEED FARMING, FIELD AND SEED PRODUCTION|111120|180.72
MUSTARD SEED FARMING, FIELD AND SEED PRODUCTION|111120|180.72
OILSEED (EXCEPT SOYBEAN) FARMING|111120|180.72
OILSEED (EXCEPT SOYBEAN) FARMING|111120|180.72
OILSEED FARMING (EXCEPT SOYBEAN), FIELD AND SEED PRODUCTION|111120|180.72
OILSEED FARMING (EXCEPT SOYBEAN), FIELD AND SEED PRODUCTION|111120|180.72
RAPESEED FARMING, FIELD AND SEED PRODUCTION|111120|180.72
RAPESEED FARMING, FIELD AND SEED PRODUCTION|111120|180.72
SAFFLOWER FARMING, FIELD AND SEED PRODUCTION|111120|180.72
SAFFLOWER FARMING, FIELD AND SEED PRODUCTION|111120|180.72
SESAME FARMING, FIELD AND SEED PRODUCTION|111120|180.72
SESAME FARMING, FIELD AND SEED PRODUCTION|111120|180.72
SUNFLOWER FARMING, FIELD AND SEED PRODUCTION|111120|180.72
SUNFLOWER FARMING, FIELD AND SEED PRODUCTION|111120|180.72
BEAN FARMING, DRY, FIELD AND SEED PRODUCTION|111130|232.35
BEAN FARMING, DRY, FIELD AND SEED PRODUCTION|111130|232.35
COWPEA FARMING, DRY, FIELD AND SEED PRODUCTION|111130|232.35
COWPEA FARMING, DRY, FIELD AND SEED PRODUCTION|111130|232.35
DRY PEA AND BEAN FARMING|111130|232.35
DRY PEA AND BEAN FARMING|111130|232.35
GARBANZO FARMING, DRY, FIELD AND SEED PRODUCTION|111130|232.35
GARBANZO FARMING, DRY, FIELD AND SEED PRODUCTION|111130|232.35
LENTIL FARMING, DRY, FIELD AND SEED PRODUCTION|111130|232.35
LENTIL FARMING, DRY, FIELD AND SEED PRODUCTION|111130|232.35
LIMA BEAN FARMING, DRY, FIELD AND SEED PRODUCTION|111130|232.35
LIMA BEAN FARMING, DRY, FIELD AND SEED PRODUCTION|111130|232.35
PEA FARMING, DRY, FIELD AND SEED PRODUCTION|111130|232.35
PEA FARMING, DRY, FIELD AND SEED PRODUCTION|111130|232.35
WHEAT FARMING|111140|813.23
WHEAT FARMING|111140|813.23
WHEAT FARMING, FIELD AND SEED PRODUCTION|111140|813.23
WHEAT FARMING, FIELD AND SEED PRODUCTION|111140|813.23
CORN FARMING|111150|542.15
CORN FARMING|111150|542.15
CORN FARMING (EXCEPT SWEET CORN), FIELD AND SEED PRODUCTION|111150|542.15
CORN FARMING (EXCEPT SWEET CORN), FIELD AND SEED PRODUCTION|111150|542.15
POPCORN FARMING, FIELD AND SEED PRODUCTION|111150|542.15
POPCORN FARMING, FIELD AND SEED PRODUCTION|111150|542.15
RICE (EXCEPT WILD RICE) FARMING, FIELD AND SEED PRODUCTION|111160|813.23
RICE (EXCEPT WILD RICE) FARMING, FIELD AND SEED PRODUCTION|111160|813.23
RICE FARMING|111160|813.23
RICE FARMING|111160|813.23
OILSEED AND GRAIN COMBINATION FARMING|111191|813.23
OILSEED AND GRAIN COMBINATION FARMING|111191|813.23
OILSEED AND GRAIN COMBINATION FARMING, FIELD AND SEED PRODUCTION|111191|813.23
OILSEED AND GRAIN COMBINATION FARMING, FIELD AND SEED PRODUCTION|111191|813.23
ALL OTHER GRAIN FARMING|111199|180.72
ALL OTHER GRAIN FARMING|111199|180.72
BARLEY FARMING, FIELD AND SEED PRODUCTION|111199|180.72
BARLEY FARMING, FIELD AND SEED PRODUCTION|111199|180.72
BROOMCORN FARMING|111199|180.72
BROOMCORN FARMING|111199|180.72
BUCKWHEAT FARMING|111199|180.72
BUCKWHEAT FARMING|111199|180.72
MILO FARMING, FIELD AND SEED PRODUCTION|111199|180.72
MILO FARMING, FIELD AND SEED PRODUCTION|111199|180.72
OAT FARMING, FIELD AND SEED PRODUCTION|111199|180.72
OAT FARMING, FIELD AND SEED PRODUCTION|111199|180.72
RYE FARMING, FIELD AND SEED PRODUCTION|111199|180.72
RYE FARMING, FIELD AND SEED PRODUCTION|111199|180.72
SORGHUM FARMING, FIELD AND SEED PRODUCTION|111199|180.72
SORGHUM FARMING, FIELD AND SEED PRODUCTION|111199|180.72
WILD RICE FARMING, FIELD AND SEED PRODUCTION|111199|180.72
WILD RICE FARMING, FIELD AND SEED PRODUCTION|111199|180.72
POTATO FARMING|111211|271.08
POTATO FARMING|111211|271.08
POTATO FARMING, FIELD AND SEED POTATO PRODUCTION|111211|271.08
POTATO FARMING, FIELD AND SEED POTATO PRODUCTION|111211|271.08
SWEET POTATO FARMING, FIELD AND SEED POTATO PRODUCTION|111211|271.08
SWEET POTATO FARMING, FIELD AND SEED POTATO PRODUCTION|111211|271.08
VEGETABLE AND MELON FARMING, POTATO DOMINANT CROP, FIELD AND SEED PRODUCTION|111211|271.08
VEGETABLE AND MELON FARMING, POTATO DOMINANT CROP, FIELD AND SEED PRODUCTION|111211|271.08
VEGETABLE AND POTATO FARMING, POTATO DOMINANT CROP, FIELD AND SEED POTATO PRODUCTION|111211|271.08
VEGETABLE AND POTATO FARMING, POTATO DOMINANT CROP, FIELD AND SEED POTATO PRODUCTION|111211|271.08
YAM FARMING, FIELD AND SEED PRODUCTION|111211|271.08
YAM FARMING, FIELD AND SEED PRODUCTION|111211|271.08
ACORN SQUASH FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
ACORN SQUASH FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
ARTICHOKE FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
ARTICHOKE FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
ASPARAGUS FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
ASPARAGUS FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
BEAN (EXCEPT DRY) FARMING, FIELD AND SEED PRODUCTION|111219|23.92
BEAN (EXCEPT DRY) FARMING, FIELD AND SEED PRODUCTION|111219|23.92
