TEXT|NAICS
SOYBEAN FARMING|111110
SOYBEAN FARMING|111110
SOYBEAN FARMING, FIELD AND SEED PRODUCTION|111110
SOYBEAN FARMING, FIELD AND SEED PRODUCTION|111110
CANOLA FARMING, FIELD AND SEED PRODUCTION|111120
CANOLA FARMING, FIELD AND SEED PRODUCTION|111120
FLAXSEED FARMING, FIELD AND SEED PRODUCTION|111120
FLAXSEED FARMING, FIELD AND SEED PRODUCTION|111120
MUSTARD SEED FARMING, FIELD AND SEED PRODUCTION|111120
MUSTARD SEED FARMING, FIELD AND SEED PRODUCTION|111120
OILSEED (EXCEPT SOYBEAN) FARMING|111120
OILSEED (EXCEPT SOYBEAN) FARMING|111120
OILSEED FARMING (EXCEPT SOYBEAN), FIELD AND SEED PRODUCTION|111120
OILSEED FARMING (EXCEPT SOYBEAN), FIELD AND SEED PRODUCTION|111120
RAPESEED FARMING, FIELD AND SEED PRODUCTION|111120
RAPESEED FARMING, FIELD AND SEED PRODUCTION|111120
SAFFLOWER FARMING, FIELD AND SEED PRODUCTION|111120
SAFFLOWER FARMING, FIELD AND SEED PRODUCTION|111120
SESAME FARMING, FIELD AND SEED PRODUCTION|111120
SESAME FARMING, FIELD AND SEED PRODUCTION|111120
SUNFLOWER FARMING, FIELD AND SEED PRODUCTION|111120
SUNFLOWER FARMING, FIELD AND SEED PRODUCTION|111120
BEAN FARMING, DRY, FIELD AND SEED PRODUCTION|111130
BEAN FARMING, DRY, FIELD AND SEED PRODUCTION|111130
COWPEA FARMING, DRY, FIELD AND SEED PRODUCTION|111130
COWPEA FARMING, DRY, FIELD AND SEED PRODUCTION|111130
DRY PEA AND BEAN FARMING|111130
DRY PEA AND BEAN FARMING|111130
GARBANZO FARMING, DRY, FIELD AND SEED PRODUCTION|111130
GARBANZO FARMING, DRY, FIELD AND SEED PRODUCTION|111130
LENTIL FARMING, DRY, FIELD AND SEED PRODUCTION|111130
LENTIL FARMING, DRY, FIELD AND SEED PRODUCTION|111130
LIMA BEAN FARMING, DRY, FIELD AND SEED PRODUCTION|111130
LIMA BEAN FARMING, DRY, FIELD AND SEED PRODUCTION|111130
PEA FARMING, DRY, FIELD AND SEED PRODUCTION|111130
PEA FARMING, DRY, FIELD AND SEED PRODUCTION|111130
WHEAT FARMING|111140
WHEAT FARMING|111140
WHEAT FARMING, FIELD AND SEED PRODUCTION|111140
WHEAT FARMING, FIELD AND SEED PRODUCTION|111140
CORN FARMING|111150
CORN FARMING|111150
CORN FARMING (EXCEPT SWEET CORN), FIELD AND SEED PRODUCTION|111150
CORN FARMING (EXCEPT SWEET CORN), FIELD AND SEED PRODUCTION|111150
POPCORN FARMING, FIELD AND SEED PRODUCTION|111150
POPCORN FARMING, FIELD AND SEED PRODUCTION|111150
RICE (EXCEPT WILD RICE) FARMING, FIELD AND SEED PRODUCTION|111160
RICE (EXCEPT WILD RICE) FARMING, FIELD AND SEED PRODUCTION|111160
RICE FARMING|111160
RICE FARMING|111160
OILSEED AND GRAIN COMBINATION FARMING|111191
OILSEED AND GRAIN COMBINATION FARMING|111191
OILSEED AND GRAIN COMBINATION FARMING, FIELD AND SEED PRODUCTION|111191
OILSEED AND GRAIN COMBINATION FARMING, FIELD AND SEED PRODUCTION|111191
ALL OTHER GRAIN FARMING|111199
ALL OTHER GRAIN FARMING|111199
BARLEY FARMING, FIELD AND SEED PRODUCTION|111199
